30.2359091167;     30.235909116*;     30.23590911**;     30.2359091***;     30.235909****;     30.23590*****;     30.2359******;     30.235*******;     30.23********;     30.2*********;     30.**********;     30***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
30.255730992699998;30.25573099269999*;30.2557309926999**;30.255730992699***;30.25573099269****;30.2557309926*****;30.255730992******;30.25573099*******;30.2557309********;30.255730*********;30.25573**********;30.2557***********;30.255************;30.25*************;30.2**************;30.***************;30****************;3*****************;******************
30.261599403999998;30.26159940399999*;30.2615994039999**;30.261599403999***;30.26159940399****;30.2615994039*****;30.261599403******;30.26159940*******;30.2615994********;30.261599*********;30.26159**********;30.2615***********;30.261************;30.26*************;30.2**************;30.***************;30****************;3*****************;******************
30.263418123400001;30.26341812340000*;30.2634181234000**;30.263418123400***;30.26341812340****;30.2634181234*****;30.263418123******;30.26341812*******;30.2634181********;30.263418*********;30.26341**********;30.2634***********;30.263************;30.26*************;30.2**************;30.***************;30****************;3*****************;******************
30.2679095833;     30.267909583*;     30.26790958**;     30.2679095***;     30.267909****;     30.26790*****;     30.2679******;     30.267*******;     30.26********;     30.2*********;     30.**********;     30***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
30.269102953200001;30.26910295320000*;30.2691029532000**;30.269102953200***;30.26910295320****;30.2691029532*****;30.269102953******;30.26910295*******;30.2691029********;30.269102*********;30.26910**********;30.2691***********;30.269************;30.26*************;30.2**************;30.***************;30****************;3*****************;******************
30.274291858400002;30.27429185840000*;30.2742918584000**;30.274291858400***;30.27429185840****;30.2742918584*****;30.274291858******;30.27429185*******;30.2742918********;30.274291*********;30.27429**********;30.2742***********;30.274************;30.27*************;30.2**************;30.***************;30****************;3*****************;******************
30.281120410100002;30.28112041010000*;30.2811204101000**;30.281120410100***;30.28112041010****;30.2811204101*****;30.281120410******;30.28112041*******;30.2811204********;30.281120*********;30.28112**********;30.2811***********;30.281************;30.28*************;30.2**************;30.***************;30****************;3*****************;******************
33.831177683299998;33.83117768329999*;33.8311776832999**;33.831177683299***;33.83117768329****;33.8311776832*****;33.831177683******;33.83117768*******;33.8311776********;33.831177*********;33.83117**********;33.8311***********;33.831************;33.83*************;33.8**************;33.***************;33****************;3*****************;******************
33.831604052400003;33.83160405240000*;33.8316040524000**;33.831604052400***;33.83160405240****;33.8316040524*****;33.831604052******;33.83160405*******;33.8316040********;33.831604*********;33.83160**********;33.8316***********;33.831************;33.83*************;33.8**************;33.***************;33****************;3*****************;******************
33.831787859099997;33.83178785909999*;33.8317878590999**;33.831787859099***;33.83178785909****;33.8317878590*****;33.831787859******;33.83178785*******;33.8317878********;33.831787*********;33.83178**********;33.8317***********;33.831************;33.83*************;33.8**************;33.***************;33****************;3*****************;******************
33.832007949999998;33.83200794999999*;33.8320079499999**;33.832007949999***;33.83200794999****;33.8320079499*****;33.832007949******;33.83200794*******;33.8320079********;33.832007*********;33.83200**********;33.8320***********;33.832************;33.83*************;33.8**************;33.***************;33****************;3*****************;******************
33.832146455;      33.83214645*;      33.8321464**;      33.832146***;      33.83214****;      33.8321*****;      33.832******;      33.83*******;      33.8********;      33.*********;      33**********;      3***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
33.8322801371;     33.832280137*;     33.83228013**;     33.8322801***;     33.832280****;     33.83228*****;     33.8322******;     33.832*******;     33.83********;     33.8*********;     33.**********;     33***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
33.864339973500002;33.86433997350000*;33.8643399735000**;33.864339973500***;33.86433997350****;33.8643399735*****;33.864339973******;33.86433997*******;33.8643399********;33.864339*********;33.86433**********;33.8643***********;33.864************;33.86*************;33.8**************;33.***************;33****************;3*****************;******************
33.864595450000003;33.86459545000000*;33.8645954500000**;33.864595450000***;33.86459545000****;33.8645954500*****;33.864595450******;33.86459545*******;33.8645954********;33.864595*********;33.86459**********;33.8645***********;33.864************;33.86*************;33.8**************;33.***************;33****************;3*****************;******************
33.864651183299998;33.86465118329999*;33.8646511832999**;33.864651183299***;33.86465118329****;33.8646511832*****;33.864651183******;33.86465118*******;33.8646511********;33.864651*********;33.86465**********;33.8646***********;33.864************;33.86*************;33.8**************;33.***************;33****************;3*****************;******************
33.865489543099997;33.86548954309999*;33.8654895430999**;33.865489543099***;33.86548954309****;33.8654895430*****;33.865489543******;33.86548954*******;33.8654895********;33.865489*********;33.86548**********;33.8654***********;33.865************;33.86*************;33.8**************;33.***************;33****************;3*****************;******************
33.872029583299998;33.87202958329999*;33.8720295832999**;33.872029583299***;33.87202958329****;33.8720295832*****;33.872029583******;33.87202958*******;33.8720295********;33.872029*********;33.87202**********;33.8720***********;33.872************;33.87*************;33.8**************;33.***************;33****************;3*****************;******************
34.017273460600002;34.01727346060000*;34.0172734606000**;34.017273460600***;34.01727346060****;34.0172734606*****;34.017273460******;34.01727346*******;34.0172734********;34.017273*********;34.01727**********;34.0172***********;34.017************;34.01*************;34.0**************;34.***************;34****************;3*****************;******************
34.027174510999998;34.02717451099999*;34.0271745109999**;34.027174510999***;34.02717451099****;34.0271745109*****;34.027174510******;34.02717451*******;34.0271745********;34.027174*********;34.02717**********;34.0271***********;34.027************;34.02*************;34.0**************;34.***************;34****************;3*****************;******************
34.027849366700003;34.02784936670000*;34.0278493667000**;34.027849366700***;34.02784936670****;34.0278493667*****;34.027849366******;34.02784936*******;34.0278493********;34.027849*********;34.02784**********;34.0278***********;34.027************;34.02*************;34.0**************;34.***************;34****************;3*****************;******************
34.0293672667;     34.029367266*;     34.02936726**;     34.0293672***;     34.029367****;     34.02936*****;     34.0293******;     34.029*******;     34.02********;     34.0*********;     34.**********;     34***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
34.02964532;       34.0296453*;       34.029645**;       34.02964***;       34.0296****;       34.029*****;       34.02******;       34.0*******;       34.********;       34*********;       3**********;       ***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
34.030021650000002;34.03002165000000*;34.0300216500000**;34.030021650000***;34.03002165000****;34.0300216500*****;34.030021650******;34.03002165*******;34.0300216********;34.030021*********;34.03002**********;34.0300***********;34.030************;34.03*************;34.0**************;34.***************;34****************;3*****************;******************
34.030078125400003;34.03007812540000*;34.0300781254000**;34.030078125400***;34.03007812540****;34.0300781254*****;34.030078125******;34.03007812*******;34.0300781********;34.030078*********;34.03007**********;34.0300***********;34.030************;34.03*************;34.0**************;34.***************;34****************;3*****************;******************
34.030110333300001;34.03011033330000*;34.0301103333000**;34.030110333300***;34.03011033330****;34.0301103333*****;34.030110333******;34.03011033*******;34.0301103********;34.030110*********;34.03011**********;34.0301***********;34.030************;34.03*************;34.0**************;34.***************;34****************;3*****************;******************
34.0336031167;     34.033603116*;     34.03360311**;     34.0336031***;     34.033603****;     34.03360*****;     34.0336******;     34.033*******;     34.03********;     34.0*********;     34.**********;     34***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
34.03438105;       34.0343810*;       34.034381**;       34.03438***;       34.0343****;       34.034*****;       34.03******;       34.0*******;       34.********;       34*********;       3**********;       ***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
34.0372210994;     34.037221099*;     34.03722109**;     34.0372210***;     34.037221****;     34.03722*****;     34.0372******;     34.037*******;     34.03********;     34.0*********;     34.**********;     34***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
34.038721260000003;34.03872126000000*;34.0387212600000**;34.038721260000***;34.03872126000****;34.0387212600*****;34.038721260******;34.03872126*******;34.0387212********;34.038721*********;34.03872**********;34.0387***********;34.038************;34.03*************;34.0**************;34.***************;34****************;3*****************;******************
34.039559519000001;34.03955951900000*;34.0395595190000**;34.039559519000***;34.03955951900****;34.0395595190*****;34.039559519******;34.03955951*******;34.0395595********;34.039559*********;34.03955**********;34.0395***********;34.039************;34.03*************;34.0**************;34.***************;34****************;3*****************;******************
34.040833058300002;34.04083305830000*;34.0408330583000**;34.040833058300***;34.04083305830****;34.0408330583*****;34.040833058******;34.04083305*******;34.0408330********;34.040833*********;34.04083**********;34.0408***********;34.040************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.043023099800003;34.04302309980000*;34.0430230998000**;34.043023099800***;34.04302309980****;34.0430230998*****;34.043023099******;34.04302309*******;34.0430230********;34.043023*********;34.04302**********;34.0430***********;34.043************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.043757433300001;34.04375743330000*;34.0437574333000**;34.043757433300***;34.04375743330****;34.0437574333*****;34.043757433******;34.04375743*******;34.0437574********;34.043757*********;34.04375**********;34.0437***********;34.043************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.0437771;        34.043777*;        34.04377**;        34.0437***;        34.043****;        34.04*****;        34.0******;        34.*******;        34********;        3*********;        **********;       ***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
34.047222300000001;34.04722230000000*;34.0472223000000**;34.047222300000***;34.04722230000****;34.0472223000*****;34.047222300******;34.04722230*******;34.0472223********;34.047222*********;34.04722**********;34.0472***********;34.047************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.047288250000001;34.04728825000000*;34.0472882500000**;34.047288250000***;34.04728825000****;34.0472882500*****;34.047288250******;34.04728825*******;34.0472882********;34.047288*********;34.04728**********;34.0472***********;34.047************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.047860566700002;34.04786056670000*;34.0478605667000**;34.047860566700***;34.04786056670****;34.0478605667*****;34.047860566******;34.04786056*******;34.0478605********;34.047860*********;34.04786**********;34.0478***********;34.047************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.048890363300004;34.04889036330000*;34.0488903633000**;34.048890363300***;34.04889036330****;34.0488903633*****;34.048890363******;34.04889036*******;34.0488903********;34.048890*********;34.04889**********;34.0488***********;34.048************;34.04*************;34.0**************;34.***************;34****************;3*****************;******************
34.050918690000003;34.05091869000000*;34.0509186900000**;34.050918690000***;34.05091869000****;34.0509186900*****;34.050918690******;34.05091869*******;34.0509186********;34.050918*********;34.05091**********;34.0509***********;34.050************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.051425859200002;34.05142585920000*;34.0514258592000**;34.051425859200***;34.05142585920****;34.0514258592*****;34.051425859******;34.05142585*******;34.0514258********;34.051425*********;34.05142**********;34.0514***********;34.051************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.051521610199998;34.05152161019999*;34.0515216101999**;34.051521610199***;34.05152161019****;34.0515216101*****;34.051521610******;34.05152161*******;34.0515216********;34.051521*********;34.05152**********;34.0515***********;34.051************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.052443242499997;34.05244324249999*;34.0524432424999**;34.052443242499***;34.05244324249****;34.0524432424*****;34.052443242******;34.05244324*******;34.0524432********;34.052443*********;34.05244**********;34.0524***********;34.052************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.052769116699999;34.05276911669999*;34.0527691166999**;34.052769116699***;34.05276911669****;34.0527691166*****;34.052769116******;34.05276911*******;34.0527691********;34.052769*********;34.05276**********;34.0527***********;34.052************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.056012510000002;34.05601251000000*;34.0560125100000**;34.056012510000***;34.05601251000****;34.0560125100*****;34.056012510******;34.05601251*******;34.0560125********;34.056012*********;34.05601**********;34.0560***********;34.056************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.057688499999998;34.05768849999999*;34.0576884999999**;34.057688499999***;34.05768849999****;34.0576884999*****;34.057688499******;34.05768849*******;34.0576884********;34.057688*********;34.05768**********;34.0576***********;34.057************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.057715266700001;34.05771526670000*;34.0577152667000**;34.057715266700***;34.05771526670****;34.0577152667*****;34.057715266******;34.05771526*******;34.0577152********;34.057715*********;34.05771**********;34.0577***********;34.057************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.057719375799998;34.05771937579999*;34.0577193757999**;34.057719375799***;34.05771937579****;34.0577193757*****;34.057719375******;34.05771937*******;34.0577193********;34.057719*********;34.05771**********;34.0577***********;34.057************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.057869433299999;34.05786943329999*;34.0578694332999**;34.057869433299***;34.05786943329****;34.0578694332*****;34.057869433******;34.05786943*******;34.0578694********;34.057869*********;34.05786**********;34.0578***********;34.057************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.058152701300003;34.05815270130000*;34.0581527013000**;34.058152701300***;34.05815270130****;34.0581527013*****;34.058152701******;34.05815270*******;34.0581527********;34.058152*********;34.05815**********;34.0581***********;34.058************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.059051066000002;34.05905106600000*;34.0590510660000**;34.059051066000***;34.05905106600****;34.0590510660*****;34.059051066******;34.05905106*******;34.0590510********;34.059051*********;34.05905**********;34.0590***********;34.059************;34.05*************;34.0**************;34.***************;34****************;3*****************;******************
34.060072016699998;34.06007201669999*;34.0600720166999**;34.060072016699***;34.06007201669****;34.0600720166*****;34.060072016******;34.06007201*******;34.0600720********;34.060072*********;34.06007**********;34.0600***********;34.060************;34.06*************;34.0**************;34.***************;34****************;3*****************;******************
34.061658465000001;34.06165846500000*;34.0616584650000**;34.061658465000***;34.06165846500****;34.0616584650*****;34.061658465******;34.06165846*******;34.0616584********;34.061658*********;34.06165**********;34.0616***********;34.061************;34.06*************;34.0**************;34.***************;34****************;3*****************;******************
35.220126177899999;35.22012617789999*;35.2201261778999**;35.220126177899***;35.22012617789****;35.2201261778*****;35.220126177******;35.22012617*******;35.2201261********;35.220126*********;35.22012**********;35.2201***********;35.220************;35.22*************;35.2**************;35.***************;35****************;3*****************;******************
38.062570389999998;38.06257038999999*;38.0625703899999**;38.062570389999***;38.06257038999****;38.0625703899*****;38.062570389******;38.06257038*******;38.0625703********;38.062570*********;38.06257**********;38.0625***********;38.062************;38.06*************;38.0**************;38.***************;38****************;3*****************;******************
38.062660332999997;38.06266033299999*;38.0626603329999**;38.062660332999***;38.06266033299****;38.0626603329*****;38.062660332******;38.06266033*******;38.0626603********;38.062660*********;38.06266**********;38.0626***********;38.062************;38.06*************;38.0**************;38.***************;38****************;3*****************;******************
38.12689915;       38.1268991*;       38.126899**;       38.12689***;       38.1268****;       38.126*****;       38.12******;       38.1*******;       38.********;       38*********;       3**********;       ***********;      ************;     *************;    **************;   ***************;  ****************; *****************;******************
38.127262916699998;38.12726291669999*;38.1272629166999**;38.127262916699***;38.12726291669****;38.1272629166*****;38.127262916******;38.12726291*******;38.1272629********;38.127262*********;38.12726**********;38.1272***********;38.127************;38.12*************;38.1**************;38.***************;38****************;3*****************;******************
38.139704233300002;38.13970423330000*;38.1397042333000**;38.139704233300***;38.13970423330****;38.1397042333*****;38.139704233******;38.13970423*******;38.1397042********;38.139704*********;38.13970**********;38.1397***********;38.139************;38.13*************;38.1**************;38.***************;38****************;3*****************;******************
38.268696069699999;38.26869606969999*;38.2686960696999**;38.268696069699***;38.26869606969****;38.2686960696*****;38.268696069******;38.26869606*******;38.2686960********;38.268696*********;38.26869**********;38.2686***********;38.268************;38.26*************;38.2**************;38.***************;38****************;3*****************;******************
38.274246756799997;38.27424675679999*;38.2742467567999**;38.274246756799***;38.27424675679****;38.2742467567*****;38.274246756******;38.27424675*******;38.2742467********;38.274246*********;38.27424**********;38.2742***********;38.274************;38.27*************;38.2**************;38.***************;38****************;3*****************;******************
39.8772709259;     39.877270925*;     39.87727092**;     39.8772709***;     39.877270****;     39.87727*****;     39.8772******;     39.877*******;     39.87********;     39.8*********;     39.**********;     39***********;     3************;     *************;    **************;   ***************;  ****************; *****************;******************
39.988894459999997;39.98889445999999*;39.9888944599999**;39.988894459999***;39.98889445999****;39.9888944599*****;39.988894459******;39.98889445*******;39.9888944********;39.988894*********;39.98889**********;39.9888***********;39.988************;39.98*************;39.9**************;39.***************;39****************;3*****************;******************
40.038343300000001;40.03834330000000*;40.0383433000000**;40.038343300000***;40.03834330000****;40.0383433000*****;40.038343300******;40.03834330*******;40.0383433********;40.038343*********;40.03834**********;40.0383***********;40.038************;40.03*************;40.0**************;40.***************;40****************;4*****************;******************
40.052408237000002;40.05240823700000*;40.0524082370000**;40.052408237000***;40.05240823700****;40.0524082370*****;40.052408237******;40.05240823*******;40.0524082********;40.052408*********;40.05240**********;40.0524***********;40.052************;40.05*************;40.0**************;40.***************;40****************;4*****************;******************
40.0761947632;     40.076194763*;     40.07619476**;     40.0761947***;     40.076194****;     40.07619*****;     40.0761******;     40.076*******;     40.07********;     40.0*********;     40.**********;     40***********;     4************;     *************;    **************;   ***************;  ****************; *****************;******************
